id,preferred_name,protein_size,annotation
9685.ENSFCAP00000007557,P2RY4,402,Pyrimidinergic receptor P2Y4; Belongs to the G-protein coupled receptor 1 family.
9685.ENSFCAP00000007559,OR8B8,343,Olfactory receptor.
9685.ENSFCAP00000007561,FCGR2B,313,Uncharacterized protein.
9685.ENSFCAP00000007564,FCRLA,374,Fc receptor like A.
9685.ENSFCAP00000007568,DUSP12,353,Dual specificity phosphatase 12.
9685.ENSFCAP00000007569,SNAPIN,229,SNAP associated protein.
9685.ENSFCAP00000007570,POLD3,464,DNA polymerase delta 3, accessory subunit.
9685.ENSFCAP00000007571,ILF2,628,Interleukin enhancer binding factor 2.
9685.ENSFCAP00000007575,GDAP1L1,367,Ganglioside induced differentiation associated protein 1 like 1.
9685.ENSFCAP00000007577,R3HDML,252,R3H domain containing like.
9685.ENSFCAP00000007578,HNF4A,474,Hepatocyte nuclear factor 4 alpha.
9685.ENSFCAP00000007579,TTPAL,343,Alpha tocopherol transfer protein like.
9685.ENSFCAP00000007582,DHX29,1420,ATP-dependent RNA helicase DHX29; ATP-binding RNA helicase involved in translation initiation. Part of the 43S pre-initiation complex that is required for efficient initiation on mRNAs of higher eukaryotes with structured 5'-UTRs by promoting efficient NTPase-dependent 48S complex formation. Specifically binds to the 40S ribosome near the mRNA entrance. Does not possess a processive helicase activity; Belongs to the DEAD box helicase family. DEAH subfamily.
9685.ENSFCAP00000007585,MAP7,773,Microtubule associated protein 7.
9685.ENSFCAP00000007586,MAP3K5,1366,Mitogen-activated protein kinase kinase kinase 5.
9685.ENSFCAP00000007589,SYN1,670,Synapsin I.
9685.ENSFCAP00000007590,TIMP1,305,TIMP metallopeptidase inhibitor 1.
9685.ENSFCAP00000007591,CFP,470,Complement factor properdin.
9685.ENSFCAP00000007595,LOC101098468,235,Peptidase S1 domain-containing protein; Belongs to the peptidase S1 family.
9685.ENSFCAP00000007598,SLC30A5,765,Solute carrier family 30 member 5.
9685.ENSFCAP00000007605,RNF32,369,Ring finger protein 32.
9685.ENSFCAP00000007612,ZC3H15,426,Zinc finger CCCH-type containing 15.
9685.ENSFCAP00000007614,TBC1D23,700,TBC1 domain family member 23.
9685.ENSFCAP00000007617,CREB1,341,cAMP responsive element binding protein 1.
9685.ENSFCAP00000007618,PIGG,983,Phosphatidylinositol glycan anchor biosynthesis class G.
9685.ENSFCAP00000007621,RPN1,607,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1; Subunit of the oligosaccharyl transferase (OST) complex that catalyzes the initial transfer of a defined glycan (Glc(3)Man(9)GlcNAc(2) in eukaryotes) from the lipid carrier dolichol- pyrophosphate to an asparagine residue within an Asn-X-Ser/Thr consensus motif in nascent polypeptide chains, the first step in protein N-glycosylation. N-glycosylation occurs cotranslationally and the complex associates with the Sec61 complex at the channel-forming translocon complex that mediates protein translocation across the en [...] 
9685.ENSFCAP00000007623,PDE6B,880,Phosphodiesterase.
9685.ENSFCAP00000007626,EPB41L4A,687,Erythrocyte membrane protein band 4.1 like 4A.
9685.ENSFCAP00000007628,GAK,1306,Cyclin G associated kinase.
9685.ENSFCAP00000007630,KCNN3,806,Potassium calcium-activated channel subfamily N member 3.
9685.ENSFCAP00000007632,POMP,141,Proteasome maturation protein.
9685.ENSFCAP00000007633,SLC46A3,461,Solute carrier family 46 member 3.
9685.ENSFCAP00000007634,LOC101086501,319,Olfactory receptor.
9685.ENSFCAP00000007639,FYB2,729,FYN binding protein 2.
9685.ENSFCAP00000007640,TBC1D16,762,TBC1 domain family member 16.
9685.ENSFCAP00000007641,CCDC40,1152,Coiled-coil domain containing 40.
9685.ENSFCAP00000007643,EIF4A3,411,Eukaryotic translation initiation factor 4A3; Belongs to the DEAD box helicase family.
9685.ENSFCAP00000007644,STK32A,396,Serine/threonine kinase 32A; Belongs to the protein kinase superfamily.
9685.ENSFCAP00000007646,KDM4C,1053,Lysine demethylase 4C.
9685.ENSFCAP00000007648,M3W986_FELCA,51,Uncharacterized protein.
9685.ENSFCAP00000007658,KLK4,254,Kallikrein related peptidase 4; Belongs to the peptidase S1 family.
9685.ENSFCAP00000007660,KLK5,296,Kallikrein related peptidase 5; Belongs to the peptidase S1 family.
9685.ENSFCAP00000007663,SLC13A2,592,Solute carrier family 13 member 2.
9685.ENSFCAP00000007664,KLK11,250,Kallikrein related peptidase 11; Belongs to the peptidase S1 family.
9685.ENSFCAP00000007665,FOXN1,646,Forkhead box N1.
9685.ENSFCAP00000007666,KLK12,264,Kallikrein related peptidase 12; Belongs to the peptidase S1 family.
9685.ENSFCAP00000007669,DIPK1C,414,Divergent protein kinase domain 1C.
9685.ENSFCAP00000007670,CNDP2,475,Carnosine dipeptidase 2.
9685.ENSFCAP00000007671,SPAG5,1194,Sperm associated antigen 5.
9685.ENSFCAP00000007673,STX8,283,Syntaxin 8.
9685.ENSFCAP00000007675,ZADH2,377,Zinc binding alcohol dehydrogenase domain containing 2.
9685.ENSFCAP00000007676,NEDD4,1323,NEDD4 E3 ubiquitin protein ligase.
9685.ENSFCAP00000007677,GNPTAB,1255,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta.
9685.ENSFCAP00000007681,TEX45,501,Testis expressed 45.
9685.ENSFCAP00000007689,ANXA7,489,Annexin.
9685.ENSFCAP00000007691,MSS51,460,MSS51 mitochondrial translational activator.
9685.ENSFCAP00000007696,DECR2,241,2,4-dienoyl-CoA reductase 2.
9685.ENSFCAP00000007698,RAB11FIP3,460,RAB11 family interacting protein 3.
9685.ENSFCAP00000007699,PRR35,634,Proline rich 35.
9685.ENSFCAP00000007700,PIGQ,691,Phosphatidylinositol glycan anchor biosynthesis class Q.
9685.ENSFCAP00000007706,STUB1,303,STIP1 homology and U-box containing protein 1.
9685.ENSFCAP00000007709,FBXL16,483,F-box and leucine rich repeat protein 16.
9685.ENSFCAP00000007713,CIAO3,476,Cytosolic iron-sulfur assembly component 3; Belongs to the NARF family.
9685.ENSFCAP00000007724,LOC101097936,274,Peptidase S1 domain-containing protein; Belongs to the peptidase S1 family.
9685.ENSFCAP00000007731,CE3H7orf26,448,Chromosome E3 C7orf26 homolog.
9685.ENSFCAP00000007736,ADAMTS15,950,ADAM metallopeptidase with thrombospondin type 1 motif 15.
9685.ENSFCAP00000007737,LOC101080954,833,Protein kinase domain-containing protein.
9685.ENSFCAP00000007740,USP30,519,Ubiquitin carboxyl-terminal hydrolase; Deubiquitinating enzyme that removes conjugated ubiquitin from specific proteins to regulate different cellular processes. Belongs to the peptidase C19 family.
9685.ENSFCAP00000007742,ACACB,2447,Acetyl-CoA carboxylase beta.
9685.ENSFCAP00000007745,SH2D1A,128,SH2 domain-containing protein 1A; Cytoplasmic adapter regulating receptors of the signaling lymphocytic activation molecule (SLAM) family such as SLAMF1, CD244, LY9, CD84, SLAMF6 and SLAMF7. In SLAM signaling seems to cooperate with SH2D1B/EAT-2.
9685.ENSFCAP00000007746,TENM1,2732,Teneurin transmembrane protein 1.
9685.ENSFCAP00000007748,STARD3NL,235,STARD3 N-terminal like.
9685.ENSFCAP00000007750,TMEM236,351,Transmembrane protein 236.
9685.ENSFCAP00000007752,JPH3,754,Junctophilin; Junctophilins contribute to the formation of junctional membrane complexes (JMCs) which link the plasma membrane with the endoplasmic or sarcoplasmic reticulum in excitable cells. Provides a structural foundation for functional cross-talk between the cell surface and intracellular calcium release channels.
9685.ENSFCAP00000007754,SDAD1,687,Protein SDA1; Required for 60S pre-ribosomal subunits export to the cytoplasm; Belongs to the SDA1 family.
9685.ENSFCAP00000007758,TMC5,1007,Transmembrane channel-like protein.
9685.ENSFCAP00000007761,VPS35L,1029,VPS35 endosomal protein sorting factor like.
9685.ENSFCAP00000007762,DOCK1,1889,Dedicator of cytokinesis 1; Belongs to the DOCK family.
9685.ENSFCAP00000007764,PAXIP1,1016,PAX interacting protein 1.
9685.ENSFCAP00000007768,SERPINB5,379,Serpin family B member 5; Belongs to the serpin family.
9685.ENSFCAP00000007769,SERPINB3,389,SERPIN domain-containing protein; Belongs to the serpin family.
9685.ENSFCAP00000007771,SERPINB10,396,Serpin family B member 10; Belongs to the serpin family.
9685.ENSFCAP00000007776,KLRAP1,273,Uncharacterized protein.
9685.ENSFCAP00000007777,STYK1,421,Serine/threonine/tyrosine kinase 1.
9685.ENSFCAP00000007779,TMEM97,225,Transmembrane protein 97.
9685.ENSFCAP00000007780,SRGAP3,1099,SLIT-ROBO Rho GTPase activating protein 3.
9685.ENSFCAP00000007781,IFT20,158,Intraflagellar transport 20.
9685.ENSFCAP00000007786,SEBOX,190,SEBOX homeobox.
9685.ENSFCAP00000007788,VTN,468,SMB domain-containing protein.
9685.ENSFCAP00000007790,SARM1,724,Sterile alpha and TIR motif containing 1.
9685.ENSFCAP00000007791,SLC46A1,459,Solute carrier family 46 member 1.
9685.ENSFCAP00000007794,IL2RB,550,Interleukin 2 receptor subunit beta.
9685.ENSFCAP00000007795,C1QTNF6,284,C1q and TNF related 6.
9685.ENSFCAP00000007796,TRIM66,1323,Tripartite motif containing 66.
9685.ENSFCAP00000007797,ELAC2,820,ElaC ribonuclease Z 2.
9685.ENSFCAP00000007798,GABARAPL2,117,GABA type A receptor associated protein like 2.
9685.ENSFCAP00000007800,RPL27A,148,Ribosomal_L18e/L15P domain-containing protein; Belongs to the universal ribosomal protein uL15 family.
9685.ENSFCAP00000007801,CD1H11orf16,470,Chromosome 11 open reading frame 16.
9685.ENSFCAP00000007802,CHN2,496,Chimaerin; GTPase-activating protein for p21-rac.
9685.ENSFCAP00000007803,PYGB,843,Alpha-1,4 glucan phosphorylase; Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties.
9685.ENSFCAP00000007804,RPLP2,115,Ribosomal protein lateral stalk subunit P2; Belongs to the eukaryotic ribosomal protein P1/P2 family.
9685.ENSFCAP00000007810,NMI,309,N-myc and STAT interactor.
9685.ENSFCAP00000007814,HSD17B4,736,Hydroxysteroid 17-beta dehydrogenase 4.
9685.ENSFCAP00000007816,LOC101086441,532,Dimethylaniline monooxygenase [N-oxide-forming].
9685.ENSFCAP00000007820,MINAR2,190,Membrane integral NOTCH2 associated receptor 2.
9685.ENSFCAP00000007821,RRP1,444,Ribosomal RNA processing 1.
9685.ENSFCAP00000007825,TRAPPC10,1259,Uncharacterized protein.
9685.ENSFCAP00000007827,GGPS1,300,Geranylgeranyl diphosphate synthase 1; Belongs to the FPP/GGPP synthase family.
9685.ENSFCAP00000007828,RAB38,211,RAB38, member RAS oncogene family.
9685.ENSFCAP00000007830,CTSC,463,Cathepsin C; Belongs to the peptidase C1 family.
9685.ENSFCAP00000007835,AIFM1,613,Apoptosis inducing factor mitochondria associated 1.
9685.ENSFCAP00000007839,ATP9B,1209,Phospholipid-transporting ATPase; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily.
9685.ENSFCAP00000007849,NPVF,197,Neuropeptide VF precursor.
9685.ENSFCAP00000007855,GNA14,355,G protein subunit alpha 14.
9685.ENSFCAP00000007861,CFL2,166,Cofilin 2; Belongs to the actin-binding proteins ADF family.
9685.ENSFCAP00000007862,GFER,408,Sulfhydryl oxidase.
9685.ENSFCAP00000007875,XYLB,553,Xylulokinase.
9685.ENSFCAP00000007885,SNX20,347,Sorting nexin 20.
9685.ENSFCAP00000007886,NOD2,1014,Nucleotide binding oligomerization domain containing 2.
9685.ENSFCAP00000007889,LCA5L,658,Lebercilin LCA5 like.
9685.ENSFCAP00000007891,PLVAP,439,Plasmalemma vesicle associated protein.
9685.ENSFCAP00000007893,IL17F,157,Interleukin 17F.
9685.ENSFCAP00000007894,ICA1L,482,Islet cell autoantigen 1 like.
9685.ENSFCAP00000007895,GREB1,1943,Growth regulating estrogen receptor binding 1.
9685.ENSFCAP00000007898,PAH,465,Phenylalanine hydroxylase.
9685.ENSFCAP00000007902,LOC101091395,454,Uncharacterized protein.
9685.ENSFCAP00000007915,TBC1D25,687,TBC1 domain family member 25.
9685.ENSFCAP00000007917,WDR13,485,WD repeat domain 13.
9685.ENSFCAP00000007919,MKKS,570,McKusick-Kaufman syndrome.
9685.ENSFCAP00000007923,CDK5R1,307,Cyclin-dependent kinase 5 activator.
9685.ENSFCAP00000007928,FCAR,176,Ig domain-containing protein.
9685.ENSFCAP00000007933,LOC101089816,494,Uncharacterized protein; Belongs to the cytochrome P450 family.
9685.ENSFCAP00000007934,LFNG,556,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase.
9685.ENSFCAP00000007936,AMZ1,493,Archaelysin family metallopeptidase 1.
9685.ENSFCAP00000007940,LTV1,474,LTV1 ribosome biogenesis factor.
9685.ENSFCAP00000007947,ANKUB1,544,Ankyrin repeat and ubiquitin domain containing 1.
9685.ENSFCAP00000007953,A4GALT,412,Alpha 1,4-galactosyltransferase (P blood group).
9685.ENSFCAP00000007955,ITFG1,611,Integrin alpha FG-GAP repeat containing 1.
9685.ENSFCAP00000007956,PHKB,1093,Phosphorylase b kinase regulatory subunit; Phosphorylase b kinase catalyzes the phosphorylation of serine in certain substrates, including troponin I. Belongs to the phosphorylase b kinase regulatory chain family.
9685.ENSFCAP00000007965,CACYBP,230,Calcyclin binding protein.
9685.ENSFCAP00000007966,LTBR,433,Lymphotoxin beta receptor.
9685.ENSFCAP00000007973,EGR2,541,Early growth response 2.
9685.ENSFCAP00000007975,USP50,372,Ubiquitin specific peptidase 50; Belongs to the peptidase C19 family.
9685.ENSFCAP00000007981,MTHFD2,350,Uncharacterized protein.
9685.ENSFCAP00000007984,SLC4A5,1153,Anion exchange protein.
9685.ENSFCAP00000007985,L1CAM,1340,L1 cell adhesion molecule.
9685.ENSFCAP00000007988,EZH2,460,Enhancer of zeste 2 polycomb repressive complex 2 subunit.
9685.ENSFCAP00000007989,CLCN5,816,Chloride channel protein.
9685.ENSFCAP00000007991,PDIA4,645,Protein disulfide-isomerase A4.
9685.ENSFCAP00000008000,GALNT11,608,Polypeptide N-acetylgalactosaminyltransferase.
9685.ENSFCAP00000008002,KMT2C,4884,Lysine methyltransferase 2C.
9685.ENSFCAP00000008004,KIF4A,1230,Kinesin family member 4A; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
9685.ENSFCAP00000008005,GDPD2,569,Glycerophosphodiester phosphodiesterase domain containing 2.
9685.ENSFCAP00000008007,KCTD3,815,Potassium channel tetramerization domain containing 3.
9685.ENSFCAP00000008011,HSPA4L,840,Heat shock protein family A (Hsp70) member 4 like.
9685.ENSFCAP00000008015,CD1B,332,CD1b molecule.
9685.ENSFCAP00000008019,RPL18,188,Ribosomal_L18e/L15P domain-containing protein.
9685.ENSFCAP00000008020,OR10K2,314,Olfactory receptor family 10 subfamily K member 2.
9685.ENSFCAP00000008025,LAMA1,3080,Laminin subunit alpha 1.
9685.ENSFCAP00000008026,ACAD9,610,Acyl-CoA dehydrogenase family member 9.
9685.ENSFCAP00000008030,ISY1,285,Uncharacterized protein.
9685.ENSFCAP00000008034,AMFR,781,Autocrine motility factor receptor.
9685.ENSFCAP00000008035,NUDT21,227,Cleavage and polyadenylation specificity factor subunit 5; Component of the cleavage factor Im (CFIm) complex that functions as an activator of the pre-mRNA 3'-end cleavage and polyadenylation processing required for the maturation of pre-mRNA into functional mRNAs. CFIm contributes to the recruitment of multiprotein complexes on specific sequences on the pre-mRNA 3'-end, so called cleavage and polyadenylation signals (pA signals). Most pre-mRNAs contain multiple pA signals, resulting in alternative cleavage and polyadenylation (APA) producing mRNAs with variable 3'-end formation. The  [...] 
9685.ENSFCAP00000008036,OGFOD1,545,2-oxoglutarate and iron dependent oxygenase domain containing 1.
9685.ENSFCAP00000008037,BBS2,720,Bardet-Biedl syndrome 2 protein homolog.
9685.ENSFCAP00000008038,MT4,62,Metallothionein; Metallothioneins have a high content of cysteine residues that bind various heavy metals.
9685.ENSFCAP00000008042,SLC12A3,1034,Solute carrier family 12 member 3.
9685.ENSFCAP00000008043,COL4A4,1418,Collagen type IV alpha 4 chain.
9685.ENSFCAP00000008044,SRMS,507,Tyrosine-protein kinase.
9685.ENSFCAP00000008048,GALR1,349,Galanin receptor 1; Belongs to the G-protein coupled receptor 1 family.
9685.ENSFCAP00000008050,PELI2,464,E3 ubiquitin-protein ligase pellino homolog; E3 ubiquitin ligase catalyzing the covalent attachment of ubiquitin moieties onto substrate proteins.
9685.ENSFCAP00000008054,SERPINB1,455,Serpin family B member 1; Belongs to the serpin family.
9685.ENSFCAP00000008056,HACD3,362,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase; Catalyzes the third of the four reactions of the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. This enzyme catalyzes the dehydration of the 3-hydroxyacyl-CoA intermediate into trans-2,3-enoyl-CoA, within each cycle of fatty acid elongation. Thereby, it participates to the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors  [...] 
9685.ENSFCAP00000008061,RALGPS1,557,Ral GEF with PH domain and SH3 binding motif 1.
9685.ENSFCAP00000008062,ANGPTL2,493,Angiopoietin like 2.
9685.ENSFCAP00000008066,GNL3L,708,G protein nucleolar 3 like.
9685.ENSFCAP00000008070,GRIK1,949,Glutamate ionotropic receptor kainate type subunit 1.
9685.ENSFCAP00000008073,GRXCR2,248,Glutaredoxin and cysteine rich domain containing 2.
9685.ENSFCAP00000008074,SLC15A2,740,Solute carrier family 15 member 2.
9685.ENSFCAP00000008075,SH3RF2,734,SH3 domain containing ring finger 2.
9685.ENSFCAP00000008077,ILDR1,545,Immunoglobulin like domain containing receptor 1.
9685.ENSFCAP00000008078,PLAC8L1,178,PLAC8 like 1.
9685.ENSFCAP00000008080,CASR,1081,Calcium sensing receptor.
9685.ENSFCAP00000008081,LARS1,1176,Leucyl-tRNA synthetase; Belongs to the class-I aminoacyl-tRNA synthetase family.
9685.ENSFCAP00000008082,CSTA,98,Cystatin-A; This is an intracellular thiol proteinase inhibitor.
9685.ENSFCAP00000008083,CCDC175,797,Coiled-coil domain containing 175.
9685.ENSFCAP00000008085,LMAN2L,399,Lectin, mannose binding 2 like.
9685.ENSFCAP00000008086,ZNF451,1063,Zinc finger protein 451.
9685.ENSFCAP00000008089,WHAMM,745,WASP homolog associated with actin, golgi membranes and microtubules.
